,open,high,close,low,volume,price_change,p_change
2018-02-27,23.53,25.88,24.16,23.53,95578.03,0.63,2.68
2018-02-26,22.8,23.78,23.53,22.8,60985.11,0.69,3.02
2018-02-23,22.88,23.37,22.82,22.71,52914.01,0.54,2.42
2018-02-22,22.25,22.76,22.28,22.02,36105.01,0.36,1.64
2018-02-14,21.49,21.99,21.92,21.48,23331.04,0.44,2.05
2018-02-13,21.4,21.9,21.48,21.31,30802.45,0.28,1.32
2018-02-12,20.7,21.4,21.19,20.63,32445.39,0.82,4.03
2018-02-09,21.2,21.46,20.36,20.19,54304.01,-1.5,-6.86
2018-02-08,21.79,22.09,21.88,21.75,27068.16,0.09,0.41
2018-02-07,22.69,23.11,21.8,21.29,53853.25,-0.5,-2.24
2018-02-06,22.8,23.55,22.29,22.2,55555.0,-0.97,-4.17
2018-02-05,22.45,23.39,23.27,22.25,52341.39,0.65,2.87
2018-02-02,22.4,22.7,22.62,21.53,33242.11,0.2,0.89
2018-02-01,23.71,23.86,22.42,22.22,66414.64,-1.3,-5.48
2018-01-31,23.85,23.98,23.72,23.31,49155.02,-0.11,-0.46
2018-01-30,23.71,24.08,23.83,23.7,32420.43,0.05,0.21
2018-01-29,24.4,24.63,23.77,23.72,65469.81,-0.73,-2.98
2018-01-26,24.27,24.74,24.49,24.22,50601.83,0.11,0.45
2018-01-25,24.99,24.99,24.37,24.23,104097.59,-0.93,-3.68
2018-01-24,25.49,26.28,25.29,25.2,134838.0,-0.2,-0.79
2018-01-23,25.15,25.53,25.5,24.93,104205.76,0.39,1.55
2018-01-22,25.14,25.4,25.13,24.75,68292.08,-0.01,-0.04
2018-01-19,24.6,25.34,25.13,24.42,128449.11,0.53,2.15
2018-01-18,24.4,24.88,24.6,24.3,67435.14,0.01,0.04
2018-01-17,24.42,24.92,24.6,23.8,92242.51,0.2,0.82
2018-01-16,23.4,24.6,24.4,23.3,101295.42,0.96,4.1
2018-01-15,24.01,24.23,23.43,23.3,69768.17,-0.8,-3.3
2018-01-12,23.7,25.15,24.24,23.42,120303.53,0.56,2.37
2018-01-11,23.67,23.85,23.67,23.21,48525.75,-0.12,-0.5
2018-01-10,24.1,24.6,23.8,23.4,70125.79,-0.14,-0.58
2018-01-09,24.6,24.78,23.96,23.82,82175.82,-0.76,-3.07
2018-01-08,24.12,24.95,24.71,24.01,109535.76,0.2,0.82
2018-01-05,24.0,25.4,24.51,23.7,204266.23,-0.56,-2.23
2018-01-04,22.79,25.07,25.07,22.51,130131.15,2.28,10.0
2018-01-03,22.42,22.83,22.79,22.18,74687.1,0.38,1.7
2018-01-02,22.3,22.54,22.42,22.05,42677.76,0.12,0.54
2017-12-29,22.34,22.46,22.31,22.02,35955.75,0.08,0.36
2017-12-28,22.23,22.84,22.24,22.12,56245.01,0.11,0.5
2017-12-27,22.25,22.57,22.13,21.8,49288.5,-0.11,-0.49
2017-12-26,21.73,22.66,22.23,21.73,61929.7,0.72,3.35
2017-12-25,22.81,22.93,21.51,21.11,86069.77,-1.47,-6.4
2017-12-22,23.21,23.39,22.99,22.9,28394.0,-0.21,-0.91
2017-12-21,23.39,23.5,23.21,22.86,34005.55,-0.11,-0.47
2017-12-20,23.61,23.96,23.33,23.2,43368.92,-0.14,-0.6
2017-12-19,23.23,23.66,23.46,23.23,43068.7,0.31,1.34
2017-12-18,23.0,23.49,23.13,22.83,29610.0,0.12,0.52
2017-12-15,23.4,23.4,23.0,22.85,43442.15,-0.46,-1.96
2017-12-14,23.65,23.77,23.47,23.22,45061.12,-0.33,-1.39
2017-12-13,23.99,24.38,23.81,23.6,68659.12,-0.15,-0.63
2017-12-12,22.61,24.14,23.98,22.61,125206.36,1.21,5.31
2017-12-11,22.61,22.94,22.75,22.5,41287.0,0.14,0.62
2017-12-08,22.4,22.9,22.61,22.04,53722.08,0.35,1.57
2017-12-07,21.98,22.48,22.26,21.92,48619.64,0.22,1.0
2017-12-06,21.66,22.1,22.06,21.51,52664.77,0.36,1.66
2017-12-05,22.91,23.26,21.7,21.65,78668.67,-1.22,-5.32
2017-12-04,23.91,24.15,22.92,22.85,85482.8,-1.27,-5.25
2017-12-01,24.04,24.49,24.18,24.04,43521.0,-0.04,-0.17
2017-11-30,24.37,24.76,24.25,24.05,49973.27,-0.05,-0.21
2017-11-29,24.66,24.8,24.29,23.96,55658.83,-0.4,-1.62
2017-11-28,24.01,24.9,24.7,24.0,49008.5,0.5,2.07
2017-11-27,24.4,24.95,24.21,24.01,58332.89,-0.23,-0.94
2017-11-24,24.1,24.7,24.45,24.09,53160.52,0.43,1.79
2017-11-23,25.3,25.43,24.03,23.98,76386.5,-1.24,-4.91
2017-11-22,25.21,25.9,25.26,24.84,68269.5,-0.03,-0.12
2017-11-21,24.6,25.98,25.28,24.56,79894.52,0.17,0.68
2017-11-20,25.55,25.58,25.09,23.46,125673.2,-0.98,-3.76
2017-11-17,28.0,28.15,26.08,25.91,167193.12,-2.09,-7.42
2017-11-16,28.1,28.72,28.17,28.0,88125.71,-0.3,-1.05
2017-11-15,29.3,29.3,28.46,28.3,121419.46,-0.86,-2.93
2017-11-14,28.0,29.89,29.34,27.68,243773.23,1.1,3.9
2017-11-13,28.61,29.23,28.25,28.09,155953.17,0.16,0.57
2017-11-10,28.78,28.99,28.09,27.88,125618.36,-0.28,-0.99
2017-11-09,28.88,29.09,28.37,27.76,191055.7,-0.67,-2.31
2017-11-08,28.8,29.7,29.04,28.11,163853.66,0.06,0.21
2017-11-07,28.6,29.37,28.98,28.42,173107.2,0.8,2.84
2017-11-06,28.67,28.74,28.18,27.76,150896.66,0.03,0.11
2017-11-03,28.86,29.62,28.15,28.03,279166.28,-2.3,-7.55
2017-11-02,31.8,31.8,30.45,30.45,312481.06,-3.38,-9.99
2017-11-01,33.85,34.34,33.83,33.1,232325.3,-0.61,-1.77
2017-10-31,32.62,35.22,34.44,32.2,361660.88,2.38,7.42
2017-10-30,32.56,34.4,32.06,31.85,337772.31,-1.05,-3.17
2017-10-27,31.45,33.2,33.11,31.45,333824.31,0.7,2.16
2017-10-26,29.3,32.7,32.41,28.92,501915.41,2.68,9.01
2017-10-25,27.86,30.45,29.73,27.54,328947.31,1.68,5.99
2017-10-24,28.2,28.75,28.05,27.22,313290.41,-1.74,-5.84
2017-10-23,29.0,31.16,29.79,28.9,466494.47,1.46,5.15
2017-10-20,29.2,29.83,28.33,27.85,411570.12,1.17,4.31
2017-10-19,25.61,27.2,27.16,25.61,180490.47,1.47,5.72
2017-10-18,25.63,26.41,25.69,25.5,109353.35,0.26,1.02
2017-10-17,25.3,25.88,25.43,25.23,67649.41,0.24,0.95
